,countyFIPS,annual_avg_emplvl
373680,12055,27867
374915,12057,686050
377174,12059,3368
377809,12061,52594
379281,12063,14362
380265,12065,2526
380833,12067,1300
381196,12069,98705
382861,12071,261782
384835,12073,151280
386497,12075,9042
387460,12077,1837
387781,12079,4302
388411,12081,124279
390255,12083,103537
391958,12085,68035
393541,12086,1144432
395926,12087,40285
397362,12089,22960
398608,12091,84327
400267,12093,11399
401192,12095,848915
403308,12097,95106
404806,12099,606403
406994,12101,119364
408724,12103,434582
410770,12105,220809
412665,12107,16286
413756,12109,76665
415386,12111,77252
416982,12113,38485
418396,12115,171108
420237,12117,194887
422042,12119,29771
423189,12121,11425
424089,12123,6590
424783,12125,3373
425217,12127,173345
427025,12129,5741
427730,12131,26131
428959,12133,5937
429656,12999,289097
434736,13001,6850
435374,13003,2221
435696,13005,3842
436206,13007,427
436403,13009,15564
437245,13011,4509
437749,13013,19377
438749,13015,38736
440066,13017,5546
440678,13019,3665
441196,13021,82456
442711,13023,2686
443117,13025,2399
443528,13027,3170
444060,13029,8843
444815,13031,25917
445893,13033,12578
446492,13035,6954
447066,13037,1064
447370,13039,14175
448240,13043,3017
448699,13045,40783
449938,13047,15213
450825,13049,1920
451218,13051,155386
452928,13053,2372
453207,13055,6252
453752,13057,61247
455255,13059,70952
456599,13061,503
456803,13063,121924
458123,13065,2221
458494,13067,364589
460402,13069,17516
461308,13071,14686
462269,13073,34371
463351,13075,4323
463995,13077,39708
465274,13079,1341
465608,13081,8159
466354,13083,3868
466862,13085,9275
467626,13087,8665
468438,13089,301013
470281,13091,5067
470887,13093,3729
471268,13095,47788
472525,13097,44414
473746,13099,4408
474241,13101,668
474409,13103,10528
475226,13105,5721
475848,13107,6499
476506,13109,4446
477015,13111,6535
477770,13113,44495
479111,13115,39438
480345,13117,75308
481854,13119,7874
482505,13121,875091
484606,13123,6874
485378,13125,417
485544,13127,38752
486845,13129,22597
487781,13131,5991
488486,13133,6303
489202,13135,354014
491082,13137,14550
491958,13139,88241
493481,13141,1508
493732,13143,6820
494386,13145,5227
494992,13147,6859
495670,13149,2029
496043,13151,61088
497344,13153,60902
498599,13155,1967
498988,13157,27673
500051,13159,2268
500473,13161,4185
500963,13163,4845
501557,13165,1354
501892,13167,1569
502208,13169,4037
502764,13171,3473
503279,13173,1437
503590,13175,18698
504552,13177,6395
505204,13179,18752
506135,13181,1287
506501,13183,1011
506717,13185,49208
508125,13187,7434
508879,13189,6854
509569,13191,1775
509979,13193,2757
510405,13195,3248
510968,13197,1063
511256,13199,4744
511864,13201,1727
512272,13205,6637
512954,13207,7732
513613,13209,1582
513950,13211,7167
514670,13213,9010
515278,13215,93978
516777,13217,25334
517879,13219,12920
518739,13221,1655
519172,13223,23929
520295,13225,9703
521023,13227,7899
521857,13229,4063
522437,13231,2996
522959,13233,11216
523701,13235,2778
524112,13237,5715
524814,13239,370
524970,13241,5183
525621,13243,1858
526025,13245,105417
527552,13247,32445
528723,13249,982
528957,13251,3345
529436,13253,2236
529882,13255,22333
530904,13257,9103
531675,13259,1339
531942,13261,10817
532766,13263,781
533007,13265,210
533128,13267,5865
533657,13269,1588
534006,13271,3009
534427,13273,2194
534887,13275,20233
536025,13277,20027
537018,13279,11846
537833,13281,3313
538319,13283,1069
538624,13285,39025
539742,13287,1943
540106,13289,2635
540410,13291,6785
541156,13293,6650
541790,13295,13177
542617,13297,23173
543711,13299,15677
544635,13301,1527
544921,13303,6498
545550,13305,7988
546272,13307,481
546440,13309,1101
546645,13311,8824
547451,13313,56490
548603,13315,1075
548888,13317,2873
549368,13319,3535
549732,13321,3208
550268,13999,135376
554471,15001,71214
556033,15003,475007
558027,15007,32583
559390,15009,78202
560909,15999,1336
563869,16001,244681
565932,16003,1022
566379,16005,33827
567680,16007,1635
568168,16009,3457
568809,16011,15233
569813,16013,13033
570916,16015,1631
571364,16017,14208
572564,16019,51839
574080,16021,3648
574798,16023,7981
575192,16025,360
575420,16027,68044
577010,16029,3311
577616,16031,11083
578514,16033,440
578703,16035,2612
579307,16037,1492
579821,16039,7085
580665,16041,3594
581299,16043,3017
581883,16045,3696
582587,16047,6086
