state_fips,county_fips,date,lf,emp,unemp,ur
12.0,125.0,2020-04-01,"      4,136 ","      3,827 ",      309 ,     7.5
12.0,127.0,2020-04-01,"    237,582 ","    202,847 ","   34,735 ",    14.6
12.0,129.0,2020-04-01,"     13,298 ","     12,256 ","    1,042 ",     7.8
12.0,131.0,2020-04-01,"     29,357 ","     25,098 ","    4,259 ",    14.5
12.0,133.0,2020-04-01,"      8,680 ","      7,797 ",      883 ,    10.2
13.0,1.0,2020-04-01,"      9,275 ","      8,599 ",      676 ,     7.3
13.0,3.0,2020-04-01,"      4,309 ","      3,977 ",      332 ,     7.7
13.0,5.0,2020-04-01,"      4,777 ","      4,416 ",      361 ,     7.6
13.0,7.0,2020-04-01,"      1,082 ",        993 ,       89 ,     8.2
13.0,9.0,2020-04-01,"     17,605 ","     15,758 ","    1,847 ",    10.5
13.0,11.0,2020-04-01,"      9,595 ","      8,697 ",      898 ,     9.4
13.0,13.0,2020-04-01,"     38,118 ","     33,636 ","    4,482 ",    11.8
13.0,15.0,2020-04-01,"     49,179 ","     41,920 ","    7,259 ",    14.8
13.0,17.0,2020-04-01,"      5,308 ","      4,720 ",      588 ,    11.1
13.0,19.0,2020-04-01,"      7,590 ","      6,521 ","    1,069 ",    14.1
13.0,21.0,2020-04-01,"     64,500 ","     57,023 ","    7,477 ",    11.6
13.0,23.0,2020-04-01,"      4,284 ","      3,883 ",      401 ,     9.4
13.0,25.0,2020-04-01,"      6,082 ","      5,382 ",      700 ,    11.5
13.0,27.0,2020-04-01,"      6,378 ","      5,892 ",      486 ,     7.6
13.0,29.0,2020-04-01,"     16,677 ","     14,575 ","    2,102 ",    12.6
13.0,31.0,2020-04-01,"     36,601 ","     32,427 ","    4,174 ",    11.4
13.0,33.0,2020-04-01,"      8,510 ","      7,618 ",      892 ,    10.5
13.0,35.0,2020-04-01,"     10,059 ","      8,903 ","    1,156 ",    11.5
13.0,37.0,2020-04-01,"      2,239 ","      2,099 ",      140 ,     6.3
13.0,39.0,2020-04-01,"     19,963 ","     18,063 ","    1,900 ",     9.5
13.0,43.0,2020-04-01,"      5,555 ","      5,173 ",      382 ,     6.9
13.0,45.0,2020-04-01,"     52,476 ","     45,688 ","    6,788 ",    12.9
13.0,47.0,2020-04-01,"     32,079 ","     28,881 ","    3,198 ",    10.0
13.0,49.0,2020-04-01,"      4,477 ","      4,220 ",      257 ,     5.7
13.0,51.0,2020-04-01,"    132,629 ","    110,868 ","   21,761 ",    16.4
13.0,53.0,2020-04-01,"      1,829 ","      1,632 ",      197 ,    10.8
13.0,55.0,2020-04-01,"     10,270 ","      8,510 ","    1,760 ",    17.1
13.0,57.0,2020-04-01,"    127,165 ","    113,034 ","   14,131 ",    11.1
13.0,59.0,2020-04-01,"     55,913 ","     49,024 ","    6,889 ",    12.3
13.0,61.0,2020-04-01,        947 ,        776 ,      171 ,    18.1
13.0,63.0,2020-04-01,"    134,591 ","    113,093 ","   21,498 ",    16.0
13.0,65.0,2020-04-01,"      2,512 ","      2,329 ",      183 ,     7.3
13.0,67.0,2020-04-01,"    398,651 ","    353,055 ","   45,596 ",    11.4
13.0,69.0,2020-04-01,"     18,800 ","     16,947 ","    1,853 ",     9.9
13.0,71.0,2020-04-01,"     20,765 ","     19,225 ","    1,540 ",     7.4
13.0,73.0,2020-04-01,"     69,464 ","     63,369 ","    6,095 ",     8.8
13.0,75.0,2020-04-01,"      7,955 ","      7,317 ",      638 ,     8.0
13.0,77.0,2020-04-01,"     71,382 ","     62,040 ","    9,342 ",    13.1
13.0,79.0,2020-04-01,"      5,246 ","      4,745 ",      501 ,     9.6
13.0,81.0,2020-04-01,"      9,447 ","      8,520 ",      927 ,     9.8
13.0,83.0,2020-04-01,"      7,592 ","      7,006 ",      586 ,     7.7
13.0,85.0,2020-04-01,"     11,650 ","     10,248 ","    1,402 ",    12.0
13.0,87.0,2020-04-01,"     11,138 ","     10,348 ",      790 ,     7.1
13.0,89.0,2020-04-01,"    380,317 ","    330,105 ","   50,212 ",    13.2
13.0,91.0,2020-04-01,"      6,480 ","      5,939 ",      541 ,     8.3
13.0,93.0,2020-04-01,"      5,231 ","      4,444 ",      787 ,    15.0
13.0,95.0,2020-04-01,"     36,159 ","     31,538 ","    4,621 ",    12.8
13.0,97.0,2020-04-01,"     69,181 ","     60,455 ","    8,726 ",    12.6
13.0,99.0,2020-04-01,"      4,225 ","      3,992 ",      233 ,     5.5
13.0,101.0,2020-04-01,"      1,774 ","      1,663 ",      111 ,     6.3
13.0,103.0,2020-04-01,"     27,978 ","     24,651 ","    3,327 ",    11.9
13.0,105.0,2020-04-01,"      7,878 ","      6,877 ","    1,001 ",    12.7
13.0,107.0,2020-04-01,"      7,961 ","      7,223 ",      738 ,     9.3
13.0,109.0,2020-04-01,"      4,728 ","      4,363 ",      365 ,     7.7
13.0,111.0,2020-04-01,"     12,355 ","     11,198 ","    1,157 ",     9.4
13.0,113.0,2020-04-01,"     53,580 ","     48,177 ","    5,403 ",    10.1
13.0,115.0,2020-04-01,"     44,399 ","     38,427 ","    5,972 ",    13.5
13.0,117.0,2020-04-01,"    113,551 ","    101,691 ","   11,860 ",    10.4
13.0,119.0,2020-04-01,"     10,117 ","      8,954 ","    1,163 ",    11.5
13.0,121.0,2020-04-01,"    533,726 ","    460,297 ","   73,429 ",    13.8
13.0,123.0,2020-04-01,"     11,263 ","     10,032 ","    1,231 ",    10.9
13.0,125.0,2020-04-01,"      1,188 ","      1,107 ",       81 ,     6.8
13.0,127.0,2020-04-01,"     34,666 ","     28,775 ","    5,891 ",    17.0
13.0,129.0,2020-04-01,"     29,023 ","     25,332 ","    3,691 ",    12.7
